vehicle_id,origin_id,KEY_CODE,destination_edge,lane_id,current_edge,speed_mps,pos_m,lane_length_m,distance_to_lane_end_m,near_lane_end,current_edge_closed,successor_count,open_successor_count,has_open_path_to_destination,layer
veh_full_origin_0116_0014,origin_0116,5439073932,11531#5,11012#2_0,11012#2,0.0,34.5,39.16,4.66,True,False,4,4,True,queue_behind_blockage
veh_full_origin_0116_0020,origin_0116,5439073932,11531#5,:1429735990_14_0,:1429735990_14,0.0,10.34,14.76,4.42,True,False,1,1,True,intersection_blockage
veh_full_origin_0116_0021,origin_0116,5439073932,11531#5,:1429735990_13_0,:1429735990_13,0.0,2.84,16.22,13.38,False,False,1,1,True,intersection_blockage
veh_full_origin_0116_0058,origin_0116,5439073932,11531#5,6214#0_0,6214#0,0.0,67.01,100.08,33.07,False,False,1,1,True,queue_behind_blockage
veh_full_origin_0116_0059,origin_0116,5439073932,11531#5,6214#0_0,6214#0,0.0,36.6,100.08,63.48,False,False,1,1,True,queue_behind_blockage
veh_full_origin_0116_0062,origin_0116,5439073932,11531#5,6214#0_1,6214#0,0.0,44.2,100.08,55.88,False,False,1,1,True,queue_behind_blockage
veh_full_origin_0116_0067,origin_0116,5439073932,11531#5,11012#2_0,11012#2,0.0,4.5,39.16,34.66,False,False,4,4,True,queue_behind_blockage
veh_full_origin_0116_0073,origin_0116,5439073932,11531#5,11012#0_0,11012#0,0.0,17.22,44.47,27.25,False,False,1,1,True,queue_behind_blockage
veh_full_origin_0116_0076,origin_0116,5439073932,11531#5,5248#2_0,5248#2,0.0,2.42,13.81,11.39,False,False,1,1,True,queue_behind_blockage
veh_full_origin_0116_0080,origin_0116,5439073932,11531#5,11012#1_0,11012#1,0.0,70.07,72.77,2.7,True,False,1,1,True,queue_behind_blockage
veh_full_origin_0116_0091,origin_0116,5439073932,11531#5,5235#1_0,5235#1,0.0,17.21,34.26,17.05,False,False,1,1,True,queue_behind_blockage
veh_full_origin_0116_0092,origin_0116,5439073932,11531#5,5248#5_0,5248#5,0.0,7.28,34.26,26.98,False,False,1,1,True,queue_behind_blockage
veh_full_origin_0116_0093,origin_0116,5439073932,11531#5,11012#1_0,11012#1,0.0,47.57,72.77,25.2,False,False,1,1,True,queue_behind_blockage
veh_full_origin_0117_0049,origin_0117,5439073934,11531#5,5235#2_0,5235#2,0.0,5.18,19.23,14.05,False,False,1,1,True,queue_behind_blockage
veh_full_origin_0117_0050,origin_0117,5439073934,11531#5,5235#1_0,5235#1,0.0,24.71,34.26,9.55,True,False,1,1,True,queue_behind_blockage
veh_full_origin_0117_0059,origin_0117,5439073934,11531#5,6214#1_0,6214#1,0.0,11.61,40.94,29.33,False,False,1,1,True,queue_behind_blockage
veh_full_origin_0117_0064,origin_0117,5439073934,11531#5,6214#0_0,6214#0,0.0,21.6,100.08,78.48,False,False,1,1,True,queue_behind_blockage
veh_full_origin_0118_0002,origin_0118,5439073941,12727#0,290#2_0,290#2,0.0,0.26,3.7,3.44,True,False,1,1,True,queue_behind_blockage
veh_full_origin_0131_0012,origin_0131,5439074824,12727#0,6214#1_1,6214#1,0.0,33.44,40.94,7.5,True,False,1,1,True,queue_behind_blockage
veh_full_origin_0132_0007,origin_0132,5439074911,12727#0,290#7_0,290#7,0.0,30.51,40.12,9.61,True,False,1,1,True,queue_behind_blockage
veh_full_origin_0132_0070,origin_0132,5439074911,12727#0,290#2_1,290#2,0.0,0.36,3.7,3.34,True,False,1,1,True,queue_behind_blockage
