KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T001208001,T001208002,T001208003,T001208004,T001208005,T001208006,T001208007,T001208008,T001208009,T001208010,T001208011,T001208012,T001208013,T001208014,T001208015,T001208016,T001208017,T001208018,T001208019,T001208020,T001208021,T001208022,T001208023,T001208024,T001208025,T001208026,T001208027,T001208028,T001208029,T001208030,T001208031,T001208032,T001208033,T001208034,T001208035,T001208036,T001208037,T001208038,T001208039,T001208040,T001208041,T001208042,T001208043,T001208044,T001208045,T001208046,T001208047,T001208048,T001208049
,,,,　常住者（現住地による人口）　総数,　常住者（現住地による人口）　男,　常住者（現住地による人口）　女,　５年前の常住地が現住所　総数,　５年前の常住地が現住所　男,　５年前の常住地が現住所　女,　５年前の常住地が現住所以外　総数,　５年前の常住地が現住所以外　男,　５年前の常住地が現住所以外　女,　　５年前の常住地が自市区町村内　総数,　　５年前の常住地が自市区町村内　男,　　５年前の常住地が自市区町村内　女,　　５年前の常住地が自市内他区・県内他市区町村　総数,　　５年前の常住地が自市内他区・県内他市区町村　男,　　５年前の常住地が自市内他区・県内他市区町村　女,　　５年前の常住地が他県・国外　総数,　　５年前の常住地が他県・国外　男,　　５年前の常住地が他県・国外　女,　常住者（現住地による５歳以上人口）　総数,　常住者（現住地による５歳以上人口）　男,　常住者（現住地による５歳以上人口）　女,　５年前の常住地が現住所（５歳以上人口）　総数,　５年前の常住地が現住所（５歳以上人口）　男,　５年前の常住地が現住所（５歳以上人口）　女,　５年前の常住地が現住所以外（５歳以上人口）　総数,　５年前の常住地が現住所以外（５歳以上人口）　男,　５年前の常住地が現住所以外（５歳以上人口）　女,　　５年前の常住地が自市区町村内（５歳以上人口）　総数,　　５年前の常住地が自市区町村内（５歳以上人口）　男,　　５年前の常住地が自市区町村内（５歳以上人口）　女,　　５年前の常住地が自市内他区・県内他市区町村（５歳以上人口）　総数,　　５年前の常住地が自市内他区・県内他市区町村（５歳以上人口）　男,　　５年前の常住地が自市内他区・県内他市区町村（５歳以上人口）　女,　　５年前の常住地が他県・国外（５歳以上人口）　総数,　　５年前の常住地が他県・国外（５歳以上人口）　男,　　５年前の常住地が他県・国外（５歳以上人口）　女,　当地に常住する就業者・通学者　総数,　当地に常住する就業者数,　当地に常住する通学者数,　　自宅で従業　就業者数,　　自宅外の自市区町村で従業・通学　総数,　　自宅外の自市区町村で従業・通学　就業者数,　　自宅外の自市区町村で従業・通学　通学者数,　　自市内他区・県内他市区町村で従業・通学　総数,　　自市内他区・県内他市区町村で従業・通学　就業者数,　　自市内他区・県内他市区町村で従業・通学　通学者数,　　他県で従業・通学　総数,　　他県で従業・通学　就業者数,　　他県で従業・通学　通学者数
5339772942,0,,,234,119,115,185,94,91,49,25,24,10,6,4,9,5,4,30,14,16,222,116,106,174,92,82,48,24,24,10,6,4,8,4,4,30,14,16,110,99,11,16,30,28,2,29,24,5,24,20,4
5339772943,0,,,387,195,192,289,140,149,90,48,42,23,14,9,28,11,17,39,23,16,363,180,183,272,130,142,86,46,40,23,14,9,27,11,16,36,21,15,219,199,20,13,61,54,7,61,54,7,73,68,5
5339772944,0,,,607,307,300,370,190,180,227,109,118,62,28,34,54,24,30,111,57,54,566,287,279,349,180,169,210,102,108,55,24,31,54,24,30,101,54,47,337,315,22,23,94,89,5,97,87,10,113,107,6
5339773622,0,,,24,15,9,21,13,8,3,2,1,0,0,0,3,2,1,0,0,0,24,15,9,21,13,8,3,2,1,0,0,0,3,2,1,0,0,0,12,12,0,2,3,3,0,5,5,0,2,2,0
5339773623,2,5339773624,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5339773624,1,,5339773623,148,73,75,124,63,61,24,10,14,4,0,4,10,5,5,10,5,5,138,67,71,117,58,59,21,9,12,4,0,4,8,4,4,9,5,4,82,78,4,12,33,31,2,23,22,1,14,13,1
5339773634,0,,,11,6,5,11,6,5,0,0,0,0,0,0,0,0,0,0,0,0,11,6,5,11,6,5,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,5,5,0,0,0,0,1,1,0
5339773641,0,,,17,9,8,17,9,8,0,0,0,0,0,0,0,0,0,0,0,0,17,9,8,17,9,8,0,0,0,0,0,0,0,0,0,0,0,0,8,5,3,1,1,0,1,4,3,1,1,0,1
5339773642,0,,,53,25,28,43,20,23,6,3,3,6,3,3,0,0,0,0,0,0,51,24,27,42,19,23,6,3,3,6,3,3,0,0,0,0,0,0,31,31,0,4,9,9,0,13,13,0,5,5,0
5339773643,0,,,94,50,44,86,45,41,8,5,3,0,0,0,1,1,0,7,4,3,86,45,41,80,42,38,6,3,3,0,0,0,0,0,0,6,3,3,56,46,10,5,22,21,1,16,11,5,13,9,4
5339773644,0,,,90,39,51,86,38,48,4,1,3,0,0,0,3,0,3,1,1,0,90,39,51,86,38,48,4,1,3,0,0,0,3,0,3,1,1,0,45,42,3,9,15,13,2,10,10,0,5,4,1
5339773711,0,,,107,55,52,92,45,47,15,10,5,4,2,2,1,1,0,10,7,3,103,54,49,88,44,44,15,10,5,4,2,2,1,1,0,10,7,3,60,54,6,10,17,17,0,19,14,5,14,13,1
5339773712,0,,,69,27,42,59,22,37,10,5,5,1,1,0,9,4,5,0,0,0,63,26,37,54,22,32,9,4,5,1,1,0,8,3,5,0,0,0,41,38,3,7,12,11,1,16,14,2,6,6,0
5339773713,0,,,103,52,51,102,52,50,1,0,1,1,0,1,0,0,0,0,0,0,100,52,48,100,52,48,0,0,0,0,0,0,0,0,0,0,0,0,66,54,12,9,26,24,2,20,15,5,7,3,4
5339773714,0,,,30,16,14,28,15,13,2,1,1,0,0,0,1,0,1,1,1,0,29,15,14,28,15,13,1,0,1,0,0,0,1,0,1,0,0,0,18,17,1,1,9,9,0,6,5,1,2,2,0
