origin_id,type3_total,type3_arrived,type3_completion_rate,type4_total,type4_arrived,type4_completion_rate,type4_minus_type3_completion_rate
origin_0225,1,1,1.0,0,0,,
origin_0226,4,4,1.0,2,2,1.0,0.0
origin_0227,2,2,1.0,0,0,,
origin_0228,1,1,1.0,0,0,,
origin_0229,2,2,1.0,1,1,1.0,0.0
origin_0230,2,2,1.0,0,0,,
origin_0231,2,2,1.0,2,2,1.0,0.0
origin_0232,3,3,1.0,1,1,1.0,0.0
origin_0233,2,2,1.0,0,0,,
origin_0234,1,1,1.0,0,0,,
origin_0235,1,1,1.0,1,1,1.0,0.0
origin_0236,2,2,1.0,1,1,1.0,0.0
origin_0238,1,1,1.0,0,0,,
origin_0239,0,0,,1,1,1.0,
origin_0240,0,0,,1,1,1.0,
origin_0241,1,1,1.0,0,0,,
origin_0242,4,4,1.0,1,1,1.0,0.0
origin_0243,2,2,1.0,2,2,1.0,0.0
origin_0244,3,3,1.0,2,2,1.0,0.0
origin_0245,1,1,1.0,1,1,1.0,0.0
origin_0246,2,2,1.0,0,0,,
origin_0247,2,2,1.0,0,0,,
origin_0249,3,3,1.0,1,1,1.0,0.0
origin_0250,1,1,1.0,0,0,,
origin_0251,1,1,1.0,0,0,,
origin_0253,2,2,1.0,1,1,1.0,0.0
origin_0255,1,1,1.0,0,0,,
origin_0256,2,2,1.0,1,1,1.0,0.0
origin_0257,2,2,1.0,0,0,,
origin_0258,1,1,1.0,1,1,1.0,0.0
origin_0259,1,1,1.0,0,0,,
origin_0260,1,1,1.0,1,1,1.0,0.0
origin_0261,8,8,1.0,2,2,1.0,0.0
origin_0262,3,3,1.0,1,1,1.0,0.0
origin_0263,2,2,1.0,0,0,,
origin_0264,1,1,1.0,0,0,,
origin_0265,1,1,1.0,0,0,,
origin_0266,1,1,1.0,0,0,,
origin_0267,1,1,1.0,0,0,,
origin_0268,1,1,1.0,0,0,,
origin_0269,1,1,1.0,0,0,,
origin_0270,1,1,1.0,0,0,,
origin_0271,1,1,1.0,0,0,,
origin_0272,3,3,1.0,2,2,1.0,0.0
origin_0273,3,3,1.0,1,1,1.0,0.0
origin_0274,2,2,1.0,0,0,,
origin_0275,2,2,1.0,0,0,,
origin_0276,2,2,1.0,0,0,,
origin_0277,7,7,1.0,1,1,1.0,0.0
origin_0278,2,2,1.0,0,0,,
origin_0279,1,1,1.0,0,0,,
origin_0280,9,9,1.0,2,2,1.0,0.0
origin_0281,7,7,1.0,2,2,1.0,0.0
origin_0282,3,3,1.0,1,1,1.0,0.0
origin_0283,3,3,1.0,0,0,,
origin_0284,1,1,1.0,0,0,,
origin_0285,3,3,1.0,2,2,1.0,0.0
origin_0286,1,1,1.0,1,1,1.0,0.0
origin_0287,2,2,1.0,0,0,,
origin_0288,1,1,1.0,1,1,1.0,0.0
origin_0289,1,1,1.0,0,0,,
origin_0290,1,1,1.0,0,0,,
origin_0292,2,2,1.0,0,0,,
origin_0293,1,1,1.0,0,0,,
origin_0294,3,3,1.0,1,1,1.0,0.0
origin_0295,2,2,1.0,0,0,,
origin_0298,4,4,1.0,2,2,1.0,0.0
origin_0299,1,1,1.0,1,1,1.0,0.0
origin_0300,1,1,1.0,0,0,,
origin_0301,2,2,1.0,1,1,1.0,0.0
origin_0302,1,1,1.0,0,0,,
origin_0303,2,2,1.0,0,0,,
origin_0304,1,1,1.0,1,1,1.0,0.0
origin_0305,3,3,1.0,2,2,1.0,0.0
origin_0306,2,2,1.0,0,0,,
origin_0307,2,2,1.0,0,0,,
origin_0308,4,3,0.75,1,1,1.0,0.25
origin_0309,2,2,1.0,0,0,,
origin_0310,2,2,1.0,0,0,,
origin_0311,11,11,1.0,2,2,1.0,0.0
origin_0312,8,8,1.0,2,2,1.0,0.0
origin_0313,5,5,1.0,1,1,1.0,0.0
origin_0314,6,6,1.0,2,2,1.0,0.0
origin_0315,8,8,1.0,2,2,1.0,0.0
origin_0316,2,2,1.0,1,1,1.0,0.0
origin_0317,2,2,1.0,0,0,,
origin_0318,4,3,0.75,1,1,1.0,0.25
origin_0319,5,5,1.0,2,2,1.0,0.0
origin_0320,6,6,1.0,2,2,1.0,0.0
origin_0321,2,2,1.0,1,0,0.0,-1.0
origin_0322,6,6,1.0,5,5,1.0,0.0
origin_0323,1,1,1.0,0,0,,
origin_0324,13,13,1.0,2,2,1.0,0.0
origin_0325,1,1,1.0,0,0,,
