origin_id,KEY_CODE,type3_vehicle_count,type3_arrived_count,type3_completion_rate,type4_vehicle_count,type4_arrived_count,type4_completion_rate,type34_vehicle_count,type34_arrived_count,type34_completion_rate,assigned_type4_share,population_type4_share,type4_minus_type3_completion_rate
origin_0107,5439073911,9,9,1.0,5,5,1.0,14,14,1.0,0.357143,0.363636,0.0
origin_0108,5439073912,10,10,1.0,5,5,1.0,15,15,1.0,0.333333,0.342857,0.0
origin_0109,5439073913,6,6,1.0,1,1,1.0,7,7,1.0,0.142857,0.117647,0.0
origin_0110,5439073914,9,8,0.888889,4,4,1.0,13,12,0.923077,0.307692,0.322581,0.111111
origin_0111,5439073921,7,7,1.0,2,2,1.0,9,9,1.0,0.222222,0.238095,0.0
origin_0112,5439073922,4,4,1.0,2,2,1.0,6,6,1.0,0.333333,0.4,0.0
origin_0113,5439073923,5,5,1.0,2,2,1.0,7,7,1.0,0.285714,0.235294,0.0
origin_0114,5439073924,2,2,1.0,1,1,1.0,3,3,1.0,0.333333,0.333333,0.0
origin_0115,5439073931,10,8,0.8,4,4,1.0,14,12,0.857143,0.285714,0.272727,0.2
origin_0116,5439073932,12,12,1.0,4,4,1.0,16,16,1.0,0.25,0.243243,0.0
origin_0117,5439073934,14,14,1.0,4,4,1.0,18,18,1.0,0.222222,0.243902,0.0
origin_0118,5439073941,1,0,0.0,1,1,1.0,2,1,0.5,0.5,0.4,1.0
origin_0120,5439074513,1,1,1.0,0,0,,1,1,1.0,0.0,0.333333,
origin_0121,5439074611,1,1,1.0,1,1,1.0,2,2,1.0,0.5,0.4,0.0
origin_0122,5439074612,1,1,1.0,1,1,1.0,2,2,1.0,0.5,0.333333,0.0
origin_0123,5439074632,2,2,1.0,0,0,,2,2,1.0,0.0,0.25,
origin_0124,5439074633,2,2,1.0,1,1,1.0,3,3,1.0,0.333333,0.333333,0.0
origin_0125,5439074634,1,1,1.0,0,0,,1,1,1.0,0.0,0.5,
origin_0127,5439074643,2,2,1.0,2,2,1.0,4,4,1.0,0.5,0.444444,0.0
origin_0128,5439074721,2,2,1.0,1,1,1.0,3,3,1.0,0.333333,0.428571,0.0
origin_0129,5439074722,5,5,1.0,2,1,0.5,7,6,0.857143,0.285714,0.25,-0.5
origin_0130,5439074814,1,1,1.0,0,0,,1,1,1.0,0.0,0.0,
origin_0131,5439074824,3,3,1.0,1,1,1.0,4,4,1.0,0.25,0.3,0.0
origin_0132,5439074911,9,9,1.0,8,8,1.0,17,17,1.0,0.470588,0.487179,0.0
origin_0133,5439074912,8,8,1.0,5,5,1.0,13,13,1.0,0.384615,0.387097,0.0
origin_0134,5439074913,3,3,1.0,1,1,1.0,4,4,1.0,0.25,0.222222,0.0
origin_0135,5439074914,3,3,1.0,2,2,1.0,5,5,1.0,0.4,0.333333,0.0
origin_0136,5439074921,4,2,0.5,2,0,0.0,6,2,0.333333,0.333333,0.384615,-0.5
origin_0137,5439074923,1,1,1.0,0,0,,1,1,1.0,0.0,0.333333,
origin_0138,5439074924,2,2,1.0,0,0,,2,2,1.0,0.0,0.2,
origin_0139,5439074931,3,3,1.0,2,2,1.0,5,5,1.0,0.4,0.307692,0.0
origin_0140,5439074932,1,1,1.0,1,1,1.0,2,2,1.0,0.5,0.4,0.0
origin_0141,5439074933,2,2,1.0,1,1,1.0,3,3,1.0,0.333333,0.375,0.0
origin_0142,5439074941,3,1,0.333333,0,0,,3,1,0.333333,0.0,0.166667,
origin_0143,5439074943,3,3,1.0,1,1,1.0,4,4,1.0,0.25,0.25,0.0
origin_0144,5439075514,2,2,1.0,0,0,,2,2,1.0,0.0,0.25,
origin_0146,5439075533,5,4,0.8,2,2,1.0,7,6,0.857143,0.285714,0.352941,0.2
origin_0147,5439075534,1,1,1.0,0,0,,1,1,1.0,0.0,0.333333,
origin_0149,5439075614,3,3,1.0,1,1,1.0,4,4,1.0,0.25,0.333333,0.0
origin_0150,5439075621,1,1,1.0,1,1,1.0,2,2,1.0,0.5,0.333333,0.0
origin_0151,5439075623,1,1,1.0,1,1,1.0,2,2,1.0,0.5,0.4,0.0
origin_0152,5439075624,1,1,1.0,0,0,,1,1,1.0,0.0,0.333333,
origin_0153,5439075632,2,0,0.0,1,1,1.0,3,1,0.333333,0.333333,0.428571,1.0
origin_0154,5439075633,1,1,1.0,1,1,1.0,2,2,1.0,0.5,0.333333,0.0
origin_0155,5439075634,2,2,1.0,0,0,,2,2,1.0,0.0,0.2,
origin_0157,5439075741,1,1,1.0,0,0,,1,1,1.0,0.0,0.0,
origin_0158,5439075911,7,5,0.714286,1,1,1.0,8,6,0.75,0.125,0.111111,0.285714
origin_0159,5439075912,4,2,0.5,0,0,,4,2,0.5,0.0,0.1,
origin_0160,5439075913,3,3,1.0,2,2,1.0,5,5,1.0,0.4,0.333333,0.0
origin_0161,5439075921,4,4,1.0,2,2,1.0,6,6,1.0,0.333333,0.285714,0.0
