city_code,city_name,scenario,vehicle_count,arrived_count,not_arrived_count,reroute_failed_count,long_stopped_count,departure_blocked_count,stranded_main_count,closure_event_count,final_closed_sumo_edge_count,vehicle_log,closure_log,congestion_log,summary,updated_at,run_id
08564,利根町,small,53,53,0,0,0,0,0,8,1510,output/sumo/regions/08564/results/scenario_a_small_vehicle_log.csv,output/sumo/regions/08564/results/scenario_a_small_closure_log.csv,output/sumo/regions/08564/results/scenario_a_small_congestion_log.csv,output/sumo/regions/08564/results/scenario_a_small_traci_summary.json,2026-05-18T15:47:50,
08201,水戸市,10pct,2647,2647,0,0,0,0,0,8,16389,output/sumo/regions/08201/results/scenario_a_10pct_vehicle_log.csv,output/sumo/regions/08201/results/scenario_a_10pct_closure_log.csv,output/sumo/regions/08201/results/scenario_a_10pct_congestion_log.csv,output/sumo/regions/08201/results/scenario_a_10pct_traci_summary.json,2026-05-18T15:53:53,
08202,日立市,10pct,488,488,0,0,0,0,0,8,2927,output/sumo/regions/08202/results/scenario_a_10pct_vehicle_log.csv,output/sumo/regions/08202/results/scenario_a_10pct_closure_log.csv,output/sumo/regions/08202/results/scenario_a_10pct_congestion_log.csv,output/sumo/regions/08202/results/scenario_a_10pct_traci_summary.json,2026-05-18T15:58:11,
08203,土浦市,10pct,611,611,0,0,0,0,0,8,3241,output/sumo/regions/08203/results/scenario_a_10pct_vehicle_log.csv,output/sumo/regions/08203/results/scenario_a_10pct_closure_log.csv,output/sumo/regions/08203/results/scenario_a_10pct_congestion_log.csv,output/sumo/regions/08203/results/scenario_a_10pct_traci_summary.json,2026-05-18T16:06:48,
08204,古河市,10pct,1052,1052,0,0,0,0,0,8,5916,output/sumo/regions/08204/results/scenario_a_10pct_vehicle_log.csv,output/sumo/regions/08204/results/scenario_a_10pct_closure_log.csv,output/sumo/regions/08204/results/scenario_a_10pct_congestion_log.csv,output/sumo/regions/08204/results/scenario_a_10pct_traci_summary.json,2026-05-18T16:18:49,
08205,石岡市,10pct,521,521,0,0,0,0,0,8,7661,output/sumo/regions/08205/results/scenario_a_10pct_vehicle_log.csv,output/sumo/regions/08205/results/scenario_a_10pct_closure_log.csv,output/sumo/regions/08205/results/scenario_a_10pct_congestion_log.csv,output/sumo/regions/08205/results/scenario_a_10pct_traci_summary.json,2026-05-18T16:22:33,
08207,結城市,10pct,612,612,0,0,0,0,0,8,2375,output/sumo/regions/08207/results/scenario_a_10pct_vehicle_log.csv,output/sumo/regions/08207/results/scenario_a_10pct_closure_log.csv,output/sumo/regions/08207/results/scenario_a_10pct_congestion_log.csv,output/sumo/regions/08207/results/scenario_a_10pct_traci_summary.json,2026-05-18T16:23:43,
08208,龍ケ崎市,10pct,1072,1072,0,0,0,0,0,8,4613,output/sumo/regions/08208/results/scenario_a_10pct_vehicle_log.csv,output/sumo/regions/08208/results/scenario_a_10pct_closure_log.csv,output/sumo/regions/08208/results/scenario_a_10pct_congestion_log.csv,output/sumo/regions/08208/results/scenario_a_10pct_traci_summary.json,2026-05-18T16:25:23,
08210,下妻市,10pct,438,438,0,0,0,0,0,8,3421,output/sumo/regions/08210/results/scenario_a_10pct_vehicle_log.csv,output/sumo/regions/08210/results/scenario_a_10pct_closure_log.csv,output/sumo/regions/08210/results/scenario_a_10pct_congestion_log.csv,output/sumo/regions/08210/results/scenario_a_10pct_traci_summary.json,2026-05-18T16:26:39,
08212,常陸太田市,10pct,414,414,0,0,0,0,0,8,12232,output/sumo/regions/08212/results/scenario_a_10pct_vehicle_log.csv,output/sumo/regions/08212/results/scenario_a_10pct_closure_log.csv,output/sumo/regions/08212/results/scenario_a_10pct_congestion_log.csv,output/sumo/regions/08212/results/scenario_a_10pct_traci_summary.json,2026-05-18T16:28:54,
