city_code,city_name,phase1_status,include_in_phase2_region,phase2_precheck_ready,a31a_sources,exclusion_reason,in_unified_manifest,scenario_html,scenario_data_js,scenario_app_js,scenario_style_css,network_graphml,network_edges_gpkg,network_summary_json,network_summary_nodes,network_summary_edges,phase1_scenario_dir,phase2_region_dir,expected_phase2_subdirs
08232,神栖市,excluded_phase1,no,no,,対象外(利根川河口・沿岸:利根川系A31a未収録),no,no,no,no,no,no,no,no,,,output/scenario_cities/08232,output/sumo/regions/08232,output/sumo/regions/08232/network;output/sumo/regions/08232/derived;output/sumo/regions/08232/scenarios;output/sumo/regions/08232/results;output/sumo/regions/08232/viz
08233,行方市,phase1_target,yes,yes,08_10+08_20,,yes,yes,yes,yes,yes,yes,yes,yes,,,output/scenario_cities/08233,output/sumo/regions/08233,output/sumo/regions/08233/network;output/sumo/regions/08233/derived;output/sumo/regions/08233/scenarios;output/sumo/regions/08233/results;output/sumo/regions/08233/viz
08234,鉾田市,phase1_target,yes,yes,08_10+08_20,,yes,yes,yes,yes,yes,yes,yes,yes,,,output/scenario_cities/08234,output/sumo/regions/08234,output/sumo/regions/08234/network;output/sumo/regions/08234/derived;output/sumo/regions/08234/scenarios;output/sumo/regions/08234/results;output/sumo/regions/08234/viz
08235,つくばみらい市,phase1_target,yes,yes,08_10+08_20,,yes,yes,yes,yes,yes,yes,yes,yes,,,output/scenario_cities/08235,output/sumo/regions/08235,output/sumo/regions/08235/network;output/sumo/regions/08235/derived;output/sumo/regions/08235/scenarios;output/sumo/regions/08235/results;output/sumo/regions/08235/viz
08236,小美玉市,phase1_target,yes,yes,08_10+08_20,,yes,yes,yes,yes,yes,yes,yes,yes,,,output/scenario_cities/08236,output/sumo/regions/08236,output/sumo/regions/08236/network;output/sumo/regions/08236/derived;output/sumo/regions/08236/scenarios;output/sumo/regions/08236/results;output/sumo/regions/08236/viz
08302,茨城町,phase1_target,yes,yes,08_10+08_20,,yes,yes,yes,yes,yes,yes,yes,yes,,,output/scenario_cities/08302,output/sumo/regions/08302,output/sumo/regions/08302/network;output/sumo/regions/08302/derived;output/sumo/regions/08302/scenarios;output/sumo/regions/08302/results;output/sumo/regions/08302/viz
08309,大洗町,phase1_target,yes,yes,08_20,,yes,yes,yes,yes,yes,yes,yes,yes,,,output/scenario_cities/08309,output/sumo/regions/08309,output/sumo/regions/08309/network;output/sumo/regions/08309/derived;output/sumo/regions/08309/scenarios;output/sumo/regions/08309/results;output/sumo/regions/08309/viz
08310,城里町,phase1_target,yes,yes,08_10+08_20,,yes,yes,yes,yes,yes,yes,yes,yes,,,output/scenario_cities/08310,output/sumo/regions/08310,output/sumo/regions/08310/network;output/sumo/regions/08310/derived;output/sumo/regions/08310/scenarios;output/sumo/regions/08310/results;output/sumo/regions/08310/viz
08341,東海村,excluded_phase1,no,no,,対象外(海岸段丘台地:那珂川浸水域が市境外止まり),no,no,no,no,no,yes,yes,yes,,,output/scenario_cities/08341,output/sumo/regions/08341,output/sumo/regions/08341/network;output/sumo/regions/08341/derived;output/sumo/regions/08341/scenarios;output/sumo/regions/08341/results;output/sumo/regions/08341/viz
08364,大子町,phase1_target,yes,yes,08_10,,yes,yes,yes,yes,yes,yes,yes,yes,,,output/scenario_cities/08364,output/sumo/regions/08364,output/sumo/regions/08364/network;output/sumo/regions/08364/derived;output/sumo/regions/08364/scenarios;output/sumo/regions/08364/results;output/sumo/regions/08364/viz
08442,美浦村,phase1_target,yes,yes,08_20,,yes,yes,yes,yes,yes,yes,yes,yes,,,output/scenario_cities/08442,output/sumo/regions/08442,output/sumo/regions/08442/network;output/sumo/regions/08442/derived;output/sumo/regions/08442/scenarios;output/sumo/regions/08442/results;output/sumo/regions/08442/viz
08443,阿見町,phase1_target,yes,yes,08_20,,yes,yes,yes,yes,yes,yes,yes,yes,,,output/scenario_cities/08443,output/sumo/regions/08443,output/sumo/regions/08443/network;output/sumo/regions/08443/derived;output/sumo/regions/08443/scenarios;output/sumo/regions/08443/results;output/sumo/regions/08443/viz
08447,河内町,phase1_target,yes,yes,08_20,,yes,yes,yes,yes,yes,yes,yes,yes,,,output/scenario_cities/08447,output/sumo/regions/08447,output/sumo/regions/08447/network;output/sumo/regions/08447/derived;output/sumo/regions/08447/scenarios;output/sumo/regions/08447/results;output/sumo/regions/08447/viz
08521,八千代町,phase1_target,yes,yes,08_20,,yes,yes,yes,yes,yes,yes,yes,yes,,,output/scenario_cities/08521,output/sumo/regions/08521,output/sumo/regions/08521/network;output/sumo/regions/08521/derived;output/sumo/regions/08521/scenarios;output/sumo/regions/08521/results;output/sumo/regions/08521/viz
08542,五霞町,phase1_target,yes,yes,08_20,,yes,yes,yes,yes,yes,yes,yes,yes,,,output/scenario_cities/08542,output/sumo/regions/08542,output/sumo/regions/08542/network;output/sumo/regions/08542/derived;output/sumo/regions/08542/scenarios;output/sumo/regions/08542/results;output/sumo/regions/08542/viz
08546,境町,phase1_target,yes,yes,08_20,,yes,yes,yes,yes,yes,yes,yes,yes,,,output/scenario_cities/08546,output/sumo/regions/08546,output/sumo/regions/08546/network;output/sumo/regions/08546/derived;output/sumo/regions/08546/scenarios;output/sumo/regions/08546/results;output/sumo/regions/08546/viz
08564,利根町,phase1_target,yes,yes,08_20,,yes,yes,yes,yes,yes,yes,yes,yes,,,output/scenario_cities/08564,output/sumo/regions/08564,output/sumo/regions/08564/network;output/sumo/regions/08564/derived;output/sumo/regions/08564/scenarios;output/sumo/regions/08564/results;output/sumo/regions/08564/viz
