timestamp,edge_id
2015-09-11T06:00:00,1429601792_3742778379_0
2015-09-11T06:00:00,1429601792_3742778383_0
2015-09-11T06:00:00,1429603185_11224417367_0
2015-09-11T06:00:00,1429603185_1429508216_0
2015-09-11T06:00:00,1429603188_1429510234_0
2015-09-11T06:00:00,1429603194_309907072_0
2015-09-11T06:00:00,1429603194_3737554078_0
2015-09-11T06:00:00,1429603198_1429517718_0
2015-09-11T06:00:00,1429603198_1695391443_0
2015-09-11T06:00:00,1429603198_534523169_0
2015-09-11T06:00:00,1429603199_1429519715_0
2015-09-11T06:00:00,1429603199_2087802561_0
2015-09-11T06:00:00,1429603200_1429603199_0
2015-09-11T06:00:00,1429734356_3747620858_0
2015-09-11T06:00:00,1429734699_3748708411_0
2015-09-11T06:00:00,1429734951_2087802417_0
2015-09-11T06:00:00,1429734951_3747375119_0
2015-09-11T06:00:00,1429735478_1429735875_0
2015-09-11T06:00:00,1429735654_1429735959_0
2015-09-11T06:00:00,1429735654_3756986109_0
2015-09-11T06:00:00,1429735654_710666302_0
2015-09-11T06:00:00,1429735875_1429735478_0
2015-09-11T06:00:00,1429735875_1429737909_0
2015-09-11T06:00:00,1429735887_3756986109_0
2015-09-11T06:00:00,1429735959_1429735654_0
2015-09-11T06:00:00,1429735990_3747375383_0
2015-09-11T06:00:00,1429736262_1429736355_0
2015-09-11T06:00:00,1429736355_1429736262_0
2015-09-11T06:00:00,1429736355_3747375406_0
2015-09-11T06:00:00,1429736355_3747375410_0
2015-09-11T06:00:00,1429736542_3747375410_0
2015-09-11T06:00:00,1429736623_3752549349_0
2015-09-11T06:00:00,1429736702_1429736779_0
2015-09-11T06:00:00,1429736779_1429736702_0
2015-09-11T06:00:00,1429737511_2088132409_0
2015-09-11T06:00:00,1429737537_1429737630_0
2015-09-11T06:00:00,1429737537_1429737846_0
2015-09-11T06:00:00,1429737537_2088132409_0
2015-09-11T06:00:00,1429737537_3752533684_0
2015-09-11T06:00:00,1429737630_1429737537_0
